Date,Price,Open,High,Low,Vol.,Change %,EPU,GPRD,Gold
2024-02-08,"45,293.3","44,346.2","45,579.2","44,336.4",66.38K,2.15%,170.26831229611042,116.2304458618164,2032.199951171875
2024-02-07,"44,339.8","43,088.4","44,367.9","42,783.5",48.57K,2.91%,170.26831229611042,100.38084411621094,2035.199951171875
2024-02-06,"43,087.7","42,697.6","43,375.5","42,566.8",33.32K,0.91%,170.26831229611042,118.75242614746094,2034.5
2024-02-05,"42,697.2","42,581.4","43,532.2","42,272.5",39.26K,0.27%,170.26831229611042,125.87757110595705,2025.699951171875
2024-02-04,"42,581.4","43,006.2","43,113.2","42,379.4",20.33K,-0.99%,170.26831229611042,85.66985321044922,2036.0999755859375
2024-02-03,"43,005.7","43,194.7","43,370.4","42,882.0",14.57K,-0.44%,170.26831229611042,96.79580688476562,2036.0999755859375
2024-02-02,"43,194.7","43,083.7","43,459.3","42,596.3",42.65K,0.26%,170.26831229611042,171.52455139160156,2036.0999755859375
2024-02-01,"43,081.4","42,580.1","43,263.1","41,890.5",47.69K,1.18%,170.26831229611042,147.4983673095703,2053.0
2024-01-31,"42,580.5","42,946.2","43,739.7","42,315.4",56.48K,-0.85%,244.285043112096,205.6076507568359,2048.39990234375
2024-01-30,"42,946.2","43,303.3","43,817.9","42,702.9",55.13K,-0.82%,244.285043112096,206.2771148681641,2031.5
2024-01-29,"43,299.8","42,031.4","43,305.6","41,824.7",45.23K,3.02%,244.285043112096,140.53317260742188,2025.199951171875
2024-01-28,"42,030.7","42,121.3","42,817.1","41,649.0",32.53K,-0.21%,244.285043112096,152.74087524414062,2016.800048828125
2024-01-27,"42,120.9","41,811.5","42,191.8","41,413.0",20.46K,0.74%,244.285043112096,178.9195556640625,2016.800048828125
2024-01-26,"41,811.3","39,942.0","42,214.8","39,831.2",69.47K,4.70%,244.285043112096,141.32115173339844,2016.800048828125
2024-01-25,"39,935.7","40,085.1","40,285.8","39,546.3",46.30K,-0.37%,244.285043112096,202.2942047119141,2016.9000244140625
2024-01-24,"40,086.0","39,891.3","40,535.2","39,510.0",58.64K,0.49%,244.285043112096,159.14471435546875,2013.9000244140625
2024-01-23,"39,888.8","39,555.0","40,159.4","38,546.9",82.67K,0.84%,244.285043112096,169.07244873046875,2023.699951171875
2024-01-22,"39,556.4","41,581.7","41,684.9","39,468.4",85.10K,-4.87%,244.285043112096,186.62353515625,2019.800048828125
2024-01-21,"41,583.2","41,695.4","41,878.0","41,504.5",16.11K,-0.27%,244.285043112096,70.10725402832031,2026.5
2024-01-20,"41,695.4","41,647.6","41,858.0","41,449.5",22.27K,0.11%,244.285043112096,83.86247253417969,2026.5
2024-01-19,"41,648.0","41,293.8","42,164.6","40,305.4",72.64K,0.86%,244.285043112096,207.4058380126953,2026.5
